id,date,id_day,negative,positive,sentiment
576,2023-02-19,1,0,10,10
577,2023-02-20,1,5,32,27
578,2023-02-20,2,9,27,18
579,2023-02-21,1,3,14,11
580,2023-02-22,1,5,31,26
581,2023-02-22,2,3,29,26
582,2023-02-24,1,0,6,6
583,2023-02-24,2,8,19,11
584,2023-02-25,1,4,10,6
585,2023-02-25,2,3,15,12
586,2023-02-25,3,1,20,19
587,2023-02-25,4,2,19,17
588,2023-02-26,1,4,28,24
589,2023-02-27,1,2,5,3
590,2023-02-28,1,11,30,19
591,2023-02-28,2,8,22,14
592,2023-03-01,1,10,7,-3
593,2023-03-02,1,1,8,7
594,2023-03-03,1,14,18,4
595,2023-03-03,2,1,16,15
596,2023-03-04,1,1,12,11
597,2023-03-05,1,0,9,9
598,2023-03-06,1,4,30,26
599,2023-03-07,1,6,24,18
600,2023-03-08,1,0,10,10
601,2023-03-08,2,5,27,22
602,2023-03-09,1,2,33,31
603,2023-03-10,1,4,20,16
604,2023-03-10,2,16,13,-3
605,2023-03-11,1,3,6,3
606,2023-03-12,1,6,44,38
607,2023-03-13,1,1,18,17
608,2023-03-14,1,3,21,18
609,2023-03-15,1,5,19,14
610,2023-03-16,1,4,11,7
611,2023-03-17,1,4,7,3
612,2023-03-18,1,9,12,3
613,2023-03-19,1,5,11,6
614,2023-03-20,1,0,4,4
615,2023-03-21,1,8,34,26
616,2023-03-22,1,4,14,10
617,2023-03-23,1,12,31,19
618,2023-03-23,2,3,12,9
619,2023-03-24,1,5,15,10
620,2023-03-25,1,5,11,6
621,2023-03-25,2,10,22,12
622,2023-03-26,1,9,21,12
623,2023-03-27,1,3,14,11
624,2023-03-28,1,4,12,8
625,2023-03-29,1,10,8,-2
626,2023-03-29,2,5,21,16
627,2023-03-30,1,7,33,26
628,2023-03-30,2,0,44,44
629,2023-03-31,1,0,14,14
630,2023-04-01,1,2,8,6
631,2023-04-02,1,2,11,9
632,2023-04-03,1,6,15,9
633,2023-04-04,1,6,22,16
634,2023-04-04,2,2,14,12
635,2023-04-05,1,5,9,4
636,2023-04-05,2,12,46,34
637,2023-04-06,1,1,16,15
638,2023-04-07,1,4,19,15
639,2023-04-08,1,6,12,6
640,2023-04-09,1,0,7,7
641,2023-04-11,1,0,13,13
642,2023-04-12,1,3,5,2
643,2023-04-12,2,5,18,13
