id,date,id_day,time,n
599,2023-03-07,1,19H 0M 0S,458
600,2023-03-08,1,11H 59M 0S,219
601,2023-03-08,2,21H 47M 0S,589
602,2023-03-09,1,22H 54M 0S,852
603,2023-03-10,1,20H 24M 0S,770
604,2023-03-10,2,20H 54M 0S,986
605,2023-03-11,1,19H 39M 0S,563
606,2023-03-12,1,20H 11M 0S,903
607,2023-03-13,1,21H 42M 0S,621
608,2023-03-14,1,23H 37M 0S,732
609,2023-03-15,1,22H 45M 0S,880
610,2023-03-16,1,22H 3M 0S,770
611,2023-03-17,1,20H 26M 0S,745
612,2023-03-18,1,21H 24M 0S,703
613,2023-03-19,1,20H 57M 0S,688
614,2023-03-20,1,21H 36M 0S,597
615,2023-03-21,1,22H 29M 0S,788
616,2023-03-22,1,19H 51M 0S,767
617,2023-03-23,1,20H 42M 0S,1429
618,2023-03-23,2,21H 34M 0S,712
619,2023-03-24,1,20H 10M 0S,615
620,2023-03-25,1,11H 31M 0S,281
621,2023-03-25,2,21H 41M 0S,655
622,2023-03-26,1,23H 55M 0S,983
623,2023-03-27,1,22H 39M 0S,776
624,2023-03-28,1,22H 12M 0S,521
625,2023-03-29,1,21H 44M 0S,1085
626,2023-03-29,2,22H 22M 0S,600
627,2023-03-30,1,13H 20M 0S,1248
628,2023-03-30,2,21H 43M 0S,592
